ATTRIBUTES:

Attribute #1:C:\Metrics\ics\projects\6.2600J_S25\buonato_NOT.ics
Attribute #2:Test
Attribute #3:dev1
Attribute #4:PASSED
SETUP:NOT  04/18/2025  12:19:18
DATE:04/18/2025
TIME:12:19:18

CONDITIONS:

ID:	VDD	
UNIT:	SMU3	
MODE: STEP	
START:	10	
STOP:	4	
PNTS:	4	
STEP:	-2

ID:	I0P	
UNIT:	SMU1	
MODE: SWEEP	
START:	10	
STOP:	0	
PNTS:	51	
STEP:	-0.2

ID:	VSS	
UNIT:	SMU2	
START:	0	
STOP:	1	
PNTS:	1	
	STEP:	0

ID:	OUT	
UNIT:	SMU4	
MODE: CONST	
VALUE:	0

DATA:  NOT  04/18/2025  12:19:18

VI0P	II0P	II0P2	II0P3	II0P4	IVSS	IVSS2	IVSS3	IVSS4	VOUT	VOUT2	VOUT3	VOUT4	IVDD	IVDD2	IVDD3	IVDD4
8.00000000E+000	-4.25490000E-011	1.27850000E-006	6.21290000E-003	1.24000000E-002	-2.38600000E-004	-9.87530000E-006	-1.49800000E-007	-1.31650000E-009	9.98780000E+000	8.00100000E+000	6.34890000E+000	4.69900000E+000	2.38300000E-004	8.35210000E-006	-6.21250000E-003	-1.24000000E-002
7.80000000E+000	1.42000000E-011	-6.18960000E-004	5.59310000E-003	1.17800000E-002	-2.20700000E-004	-8.19290000E-006	-1.39490000E-007	-1.22300000E-009	9.98880000E+000	7.96580000E+000	6.31400000E+000	4.66380000E+000	2.20450000E-004	6.27160000E-004	-5.59210000E-003	-1.17850000E-002
7.60000000E+000	-5.33990000E-011	-1.24350000E-003	4.96790000E-003	1.11600000E-002	-2.06900000E-004	-7.28300000E-006	-1.33100000E-007	-1.10550000E-009	9.98970000E+000	7.93090000E+000	6.27880000E+000	4.62890000E+000	2.06700000E-004	1.25100000E-003	-4.96700000E-003	-1.11600000E-002
7.40000000E+000	-1.70000000E-012	-1.86350000E-003	4.34760000E-003	1.05400000E-002	-1.95210000E-004	-6.77310000E-006	-1.28940000E-007	-9.69970000E-010	9.99070000E+000	7.89600000E+000	6.24390000E+000	4.59400000E+000	1.95250000E-004	1.87000000E-003	-4.34660000E-003	-1.05450000E-002
7.20000000E+000	-5.49500000E-011	-2.48350000E-003	3.72710000E-003	9.92490000E-003	-1.84850000E-004	-6.10650000E-006	-1.19050000E-007	-9.95210000E-010	9.99070000E+000	7.86080000E+000	6.20900000E+000	4.55790000E+000	1.85150000E-004	2.48900000E-003	-3.72650000E-003	-9.92390000E-003
7.00000000E+000	8.49980000E-013	-3.10350000E-003	3.10600000E-003	9.30690000E-003	-1.75950000E-004	-5.59490000E-006	-1.16400000E-007	-8.38210000E-010	9.99070000E+000	7.82500000E+000	6.17380000E+000	4.52390000E+000	1.76010000E-004	3.10850000E-003	-3.10550000E-003	-9.30600000E-003
6.80000000E+000	-6.01510000E-011	-3.72300000E-003	2.48500000E-003	8.68800000E-003	-1.67600000E-004	-5.07380000E-006	-1.07650000E-007	-7.10280000E-010	9.99170000E+000	7.78980000E+000	6.13990000E+000	4.48900000E+000	1.67450000E-004	3.72760000E-003	-2.48460000E-003	-8.68700000E-003
6.60000000E+000	-1.50000000E-012	-4.34210000E-003	1.86400000E-003	8.06900000E-003	-1.59650000E-004	-4.64710000E-006	-1.00250000E-007	-7.36690000E-010	9.99170000E+000	7.75490000E+000	6.10400000E+000	4.45390000E+000	1.59450000E-004	4.34710000E-003	-1.86350000E-003	-8.06810000E-003
6.40000000E+000	-5.38010000E-011	-4.96200000E-003	1.24300000E-003	7.44960000E-003	-1.53250000E-004	-4.17960000E-006	-1.01100000E-007	-6.54010000E-010	9.99170000E+000	7.72000000E+000	6.06980000E+000	4.41890000E+000	1.53000000E-004	4.96650000E-003	-1.24200000E-003	-7.44870000E-003
6.20000000E+000	-1.30000000E-011	-5.58160000E-003	6.21770000E-004	6.83050000E-003	-1.47200000E-004	-3.78700000E-006	-1.03170000E-007	-5.84750000E-010	9.99270000E+000	7.68480000E+000	6.03490000E+000	4.38400000E+000	1.47500000E-004	5.58500000E-003	-6.21320000E-004	-6.82950000E-003
6.00000000E+000	-5.72010000E-011	-6.20100000E-003	1.59450000E-007	6.21060000E-003	-1.41700000E-004	-3.45150000E-006	-9.01090000E-008	-5.58940000E-010	9.99370000E+000	7.64990000E+000	6.00000000E+000	4.34990000E+000	1.41400000E-004	6.20370000E-003	-1.62490000E-007	-6.20960000E-003
5.80000000E+000	-1.50000000E-011	-6.81950000E-003	-6.20840000E-004	5.59000000E-003	-1.36200000E-004	-3.06350000E-006	-8.68060000E-008	-4.96700000E-010	9.99460000E+000	7.61400000E+000	5.96480000E+000	4.31400000E+000	1.36300000E-004	6.82260000E-003	6.20810000E-004	-5.58900000E-003
5.60000000E+000	-5.70500000E-011	-7.43790000E-003	-1.24200000E-003	4.96960000E-003	-1.30100000E-004	-2.88440000E-006	-9.23460000E-008	-4.37850000E-010	9.99370000E+000	7.57890000E+000	5.93090000E+000	4.27910000E+000	1.30100000E-004	7.44060000E-003	1.24200000E-003	-4.96910000E-003
5.40000000E+000	-2.07000000E-011	-8.05660000E-003	-1.86350000E-003	4.34900000E-003	-1.25350000E-004	-2.65390000E-006	-9.06800000E-008	-4.02090000E-010	9.99460000E+000	7.54390000E+000	5.89600000E+000	4.24390000E+000	1.25600000E-004	8.05900000E-003	1.86350000E-003	-4.34800000E-003
5.20000000E+000	-5.22000000E-011	-8.67460000E-003	-2.48460000E-003	3.72800000E-003	-1.20650000E-004	-2.49290000E-006	-7.73940000E-008	-3.58890000E-010	9.99460000E+000	7.50780000E+000	5.85990000E+000	4.21000000E+000	1.20750000E-004	8.67650000E-003	2.48500000E-003	-3.72800000E-003
5.00000000E+000	-3.70990000E-011	-9.29260000E-003	-3.10550000E-003	3.10710000E-003	-1.15350000E-004	-2.21050000E-006	-6.99910000E-008	-3.31060000E-010	9.99460000E+000	7.47390000E+000	5.82590000E+000	4.17380000E+000	1.15700000E-004	9.29450000E-003	3.10550000E-003	-3.10760000E-003
